timestamp tx ty tz qx qy qz qw
1683460057.59614 -3.3208 -6.6867 0.862 0.0 0.0 0.0 0.0
1683460057.8040705 -3.3013 -6.5789 0.861 0.0 0.0 0.0 0.0
1683460058.0280197 -3.2935 -6.5156 0.8532 0.0 0.0 0.0 0.0
1683460058.2199922 -3.2734 -6.4405 0.8493 0.0 0.0 0.0 0.0
1683460058.4272585 -3.2628 -6.3876 0.8418 0.0 0.0 0.0 0.0
1683460058.715207 -3.2211 -6.2746 0.8402 0.0 0.0 0.0 0.0
1683460059.0031426 -3.1901 -6.1846 0.8428 0.0 0.0 0.0 0.0
1683460059.2111208 -3.1758 -6.1186 0.8387 0.0 0.0 0.0 0.0
1683460059.4190547 -3.1483 -6.0327 0.8396 0.0 0.0 0.0 0.0
1683460059.6918998 -3.1161 -5.9285 0.8399 0.0 0.0 0.0 0.0
1683460059.9798207 -3.0812 -5.8423 0.8392 0.0 0.0 0.0 0.0
1683460060.2837596 -3.0471 -5.7449 0.8389 0.0 0.0 0.0 0.0
1683460060.5877223 -3.0188 -5.6572 0.8396 0.0 0.0 0.0 0.0
1683460060.9235723 -2.9708 -5.5457 0.8375 0.0 0.0 0.0 0.0
1683460061.259492 -2.9099 -5.3964 0.839 0.0 0.0 0.0 0.0
1683460061.5953882 -2.8868 -5.3175 0.8381 0.0 0.0 0.0 0.0
1683460061.8509157 -2.851 -5.2122 0.8354 0.0 0.0 0.0 0.0
1683460062.1388338 -2.8063 -5.0972 0.839 0.0 0.0 0.0 0.0
1683460062.4747703 -2.7541 -4.958 0.8376 0.0 0.0 0.0 0.0
1683460062.6815555 -2.7541 -4.958 0.8376 0.0 0.0 0.0 0.0
1683460063.017625 -2.7459 -4.929 0.8375 0.0 0.0 0.0 0.0
1683460063.2734303 -2.6585 -4.7059 0.844 0.0 0.0 0.0 0.0
1683460063.6253932 -2.6306 -4.6297 0.8464 0.0 0.0 0.0 0.0
1683460063.866356 -2.6091 -4.5541 0.8466 0.0 0.0 0.0 0.0
1683460064.122303 -2.5654 -4.4313 0.8548 0.0 0.0 0.0 0.0
1683460064.378252 -2.5378 -4.3672 0.856 0.0 0.0 0.0 0.0
1683460064.634181 -2.4902 -4.2489 0.8593 0.0 0.0 0.0 0.0
1683460064.999996 -2.4458 -4.1266 0.8638 0.0 0.0 0.0 0.0
1683460065.319897 -2.4103 -4.0076 0.8668 0.0 0.0 0.0 0.0
1683460065.6078382 -2.3848 -3.9158 0.8569 0.0 0.0 0.0 0.0
1683460065.9278111 -2.3599 -3.8302 0.8608 0.0 0.0 0.0 0.0
1683460066.201368 -2.3298 -3.7434 0.8664 0.0 0.0 0.0 0.0
1683460066.457312 -2.312 -3.6758 0.8675 0.0 0.0 0.0 0.0
1683460066.7132933 -2.2507 -3.54 0.871 0.0 0.0 0.0 0.0
1683460067.0492113 -2.1882 -3.3769 0.8722 0.0 0.0 0.0 0.0
1683460067.2416542 -2.1882 -3.3769 0.8722 0.0 0.0 0.0 0.0
1683460067.4656005 -2.1507 -3.2765 0.8676 0.0 0.0 0.0 0.0
1683460067.7695289 -2.1131 -3.1563 0.8658 0.0 0.0 0.0 0.0
1683460067.993496 -2.082 -3.0854 0.8625 0.0 0.0 0.0 0.0
1683460068.2494144 -2.0588 -3.0123 0.8599 0.0 0.0 0.0 0.0
1683460068.4559789 -2.0209 -2.9251 0.8623 0.0 0.0 0.0 0.0
1683460068.711931 -1.9963 -2.8598 0.858 0.0 0.0 0.0 0.0
1683460069.111882 -1.9338 -2.7141 0.857 0.0 0.0 0.0 0.0
1683460069.3848312 -1.8968 -2.6092 0.8577 0.0 0.0 0.0 0.0
1683460069.704774 -1.8655 -2.5413 0.8531 0.0 0.0 0.0 0.0
1683460069.9287477 -1.8135 -2.4282 0.86 0.0 0.0 0.0 0.0
1683460070.184675 -1.7782 -2.3506 0.8634 0.0 0.0 0.0 0.0
1683460070.4730203 -1.752 -2.2781 0.8669 0.0 0.0 0.0 0.0
1683460070.7609372 -1.7121 -2.1779 0.8689 0.0 0.0 0.0 0.0
1683460071.112888 -1.6687 -2.037 0.8714 0.0 0.0 0.0 0.0
1683460071.4488328 -1.6354 -1.9447 0.8751 0.0 0.0 0.0 0.0
1683460071.6875894 -1.5784 -1.8093 0.8803 0.0 0.0 0.0 0.0
1683460071.927579 -1.5352 -1.7306 0.8825 0.0 0.0 0.0 0.0
1683460072.1835375 -1.5059 -1.6395 0.8844 0.0 0.0 0.0 0.0
1683460072.4554522 -1.487 -1.5619 0.8813 0.0 0.0 0.0 0.0
1683460072.8728712 -1.4282 -1.403 0.8845 0.0 0.0 0.0 0.0
1683460073.160852 -1.4008 -1.2878 0.879 0.0 0.0 0.0 0.0
1683460073.4008186 -1.3826 -1.2288 0.8806 0.0 0.0 0.0 0.0
1683460073.7362392 -1.3437 -1.1214 0.8784 0.0 0.0 0.0 0.0
1683460074.040178 -1.2964 -0.982 0.882 0.0 0.0 0.0 0.0
1683460074.3121097 -1.2641 -0.873 0.8836 0.0 0.0 0.0 0.0
1683460074.5361054 -1.2502 -0.8257 0.8817 0.0 0.0 0.0 0.0
1683460075.6716263 -1.1342 -0.3761 0.8747 0.0 0.0 0.0 0.0
1683460075.8636086 -1.1369 -0.3359 0.8724 0.0 0.0 0.0 0.0
1683460076.1195543 -1.1193 -0.2566 0.8718 0.0 0.0 0.0 0.0
1683460076.3755157 -1.1113 -0.1884 0.87 0.0 0.0 0.0 0.0
1683460076.6475637 -1.1088 -0.0594 0.8734 0.0 0.0 0.0 0.0
1683460077.015503 -1.1091 0.0668 0.8704 0.0 0.0 0.0 0.0
1683460077.335443 -1.1057 0.1483 0.8748 0.0 0.0 0.0 0.0
1683460077.4953957 -1.1039 0.2238 0.8749 0.0 0.0 0.0 0.0
1683460077.7193744 -1.1043 0.3123 0.8816 0.0 0.0 0.0 0.0
1683460078.0221946 -1.1059 0.4071 0.8843 0.0 0.0 0.0 0.0
1683460078.26214 -1.111 0.527 0.8915 0.0 0.0 0.0 0.0
1683460078.5180976 -1.1332 0.6256 0.8964 0.0 0.0 0.0 0.0
1683460078.7913966 -1.154 0.6843 0.8936 0.0 0.0 0.0 0.0
1683460079.1113224 -1.1845 0.8127 0.899 0.0 0.0 0.0 0.0
1683460079.415216 -1.2162 0.9392 0.9046 0.0 0.0 0.0 0.0
1683460079.6232257 -1.246 1.0077 0.906 0.0 0.0 0.0 0.0
1683460079.8794208 -1.2938 1.0932 0.9127 0.0 0.0 0.0 0.0
1683460080.0714471 -1.3353 1.1698 0.9165 0.0 0.0 0.0 0.0
1683460080.4073188 -1.3984 1.2756 0.9215 0.0 0.0 0.0 0.0
1683460080.6312826 -1.3984 1.2756 0.9215 0.0 0.0 0.0 0.0
1683460080.9507072 -1.4891 1.3969 0.9178 0.0 0.0 0.0 0.0
1683460081.2226648 -1.5712 1.525 0.931 0.0 0.0 0.0 0.0
1683460081.4786177 -1.6356 1.6049 0.9281 0.0 0.0 0.0 0.0
1683460081.702571 -1.6663 1.6854 0.9266 0.0 0.0 0.0 0.0
1683460082.0072794 -1.6939 1.7499 0.9339 0.0 0.0 0.0 0.0
1683460082.2792263 -1.7387 1.8492 0.9436 0.0 0.0 0.0 0.0
1683460082.551217 -1.7664 1.9609 0.9469 0.0 0.0 0.0 0.0
1683460082.919115 -1.7904 2.0871 0.9543 0.0 0.0 0.0 0.0
1683460083.2222898 -1.7873 2.2042 0.9597 0.0 0.0 0.0 0.0
1683460083.5102592 -1.7767 2.2939 0.9646 0.0 0.0 0.0 0.0
1683460083.814154 -1.7333 2.422 0.9709 0.0 0.0 0.0 0.0
1683460084.0541372 -1.705 2.5164 0.9783 0.0 0.0 0.0 0.0
1683460084.3584085 -1.6816 2.6171 0.9784 0.0 0.0 0.0 0.0
1683460084.610434 -1.6643 2.6814 0.9787 0.0 0.0 0.0 0.0
1683460084.8823829 -1.622 2.7816 0.9826 0.0 0.0 0.0 0.0
1683460085.09033 -1.5886 2.889 0.9802 0.0 0.0 0.0 0.0
1683460085.3302782 -1.5488 2.995 0.9851 0.0 0.0 0.0 0.0
1683460085.574653 -1.5031 3.1191 0.9837 0.0 0.0 0.0 0.0
1683460085.8786504 -1.4754 3.2486 0.977 0.0 0.0 0.0 0.0
1683460086.2145944 -1.4385 3.3669 0.9621 0.0 0.0 0.0 0.0
1683460086.502143 -1.4241 3.4199 0.9497 0.0 0.0 0.0 0.0
1683460086.726075 -1.3973 3.5084 0.9459 0.0 0.0 0.0 0.0
1683460087.045978 -1.3427 3.6419 0.9373 0.0 0.0 0.0 0.0
1683460087.3178897 -1.3219 3.7044 0.9331 0.0 0.0 0.0 0.0
1683460087.525816 -1.3018 3.7586 0.9332 0.0 0.0 0.0 0.0
1683460087.9577422 -1.2267 3.9793 0.9272 0.0 0.0 0.0 0.0
1683460088.2616923 -1.2007 4.0494 0.9235 0.0 0.0 0.0 0.0
1683460088.4536629 -1.2007 4.0494 0.9235 0.0 0.0 0.0 0.0
1683460088.7581165 -1.1334 4.1735 0.9175 0.0 0.0 0.0 0.0
1683460089.014084 -1.0773 4.2267 0.9181 0.0 0.0 0.0 0.0
1683460089.3020153 -0.9786 4.2731 0.9225 0.0 0.0 0.0 0.0
1683460089.6216905 -0.8956 4.2984 0.9204 0.0 0.0 0.0 0.0
1683460089.8936346 -0.845 4.2906 0.9211 0.0 0.0 0.0 0.0
1683460090.149626 -0.75 4.2521 0.9218 0.0 0.0 0.0 0.0
1683460090.4055212 -0.75 4.2521 0.9218 0.0 0.0 0.0 0.0
1683460090.6775134 -0.6474 4.1535 0.9192 0.0 0.0 0.0 0.0
1683460090.9974306 -0.5406 4.0102 0.9223 0.0 0.0 0.0 0.0
1683460091.189407 -0.5406 4.0102 0.9223 0.0 0.0 0.0 0.0
1683460091.4773126 -0.4262 3.8875 0.9211 0.0 0.0 0.0 0.0
1683460091.7652946 -0.3257 3.8181 0.9184 0.0 0.0 0.0 0.0
1683460091.9572449 -0.3257 3.8181 0.9184 0.0 0.0 0.0 0.0
1683460092.2292118 -0.2005 3.7852 0.9151 0.0 0.0 0.0 0.0
1683460092.4211702 -0.0389 3.7658 0.9108 0.0 0.0 0.0 0.0
1683460092.6931157 -0.0389 3.7658 0.9108 0.0 0.0 0.0 0.0
1683460092.9488945 0.2007 3.7332 0.9022 0.0 0.0 0.0 0.0
1683460093.4127972 0.3439 3.7207 0.8848 0.0 0.0 0.0 0.0
1683460093.7007437 0.4255 3.7185 0.8757 0.0 0.0 0.0 0.0
1683460093.892729 0.5215 3.7221 0.8707 0.0 0.0 0.0 0.0
1683460094.1806502 0.6334 3.7409 0.862 0.0 0.0 0.0 0.0
1683460094.4366062 0.732 3.742 0.8512 0.0 0.0 0.0 0.0
1683460094.7565548 0.8564 3.7624 0.8448 0.0 0.0 0.0 0.0
1683460095.0432956 0.8564 3.7624 0.8448 0.0 0.0 0.0 0.0
1683460095.2833087 1.0442 3.8104 0.8381 0.0 0.0 0.0 0.0
1683460095.5232162 1.1362 3.8385 0.833 0.0 0.0 0.0 0.0
1683460095.7951496 1.2736 3.8744 0.8272 0.0 0.0 0.0 0.0
1683460096.0999882 1.2736 3.8744 0.8272 0.0 0.0 0.0 0.0
1683460096.387914 1.4552 3.9248 0.8213 0.0 0.0 0.0 0.0
1683460096.6758175 1.5724 3.9765 0.818 0.0 0.0 0.0 0.0
1683460096.99579 1.6518 4.0159 0.8116 0.0 0.0 0.0 0.0
